title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source
Ziggurat (2012),2/17/2012,Action Button Entertainment,Freshuu Inc.,Action,,6.9,iOS (iPhone/iPad),83,dataset3
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,Xbox,59,dataset3
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,PC,69,dataset3
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,GameCube,56,dataset3
MotoGP 2 (2001),1/22/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,PlayStation 2,78,dataset3
Gothic 3,11/14/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,PC,63,dataset3
Siege Survival: Gloria Victis,5/18/2021,FishTankStudio,Black Eye Games,RPG,,6.5,PC,69,dataset3
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,Wii,86,dataset3
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,PlayStation 2,82,dataset3
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,PlayStation 3,83,dataset3
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,Xbox 360,85,dataset3
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,PC,79,dataset3
Frantix: A Puzzle Adventure,9/19/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,,PSP,59,dataset3
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,PlayStation 4,65,dataset3
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,PlayStation Vita,64,dataset3
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,PC,tbd,dataset3
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,Xbox One,68,dataset3
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,iOS (iPhone/iPad),tbd,dataset3
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,Nintendo Switch,61,dataset3
The Sims: Livin' Large,8/27/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,PC,82,dataset3
Retrovirus,11/16/2012,Cadenza,Cadenza,FPS,,6.6,PC,70,dataset3
Til Morning's Light,5/20/2015,WayForward,Amazon Game Studios,Action,,6.4,iOS (iPhone/iPad),77,dataset3
The Political Machine 2012,7/31/2012,Stardock,Stardock,Turn-Based Strategy,,6.5,PC,54,dataset3
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,PC,74,dataset3
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,Xbox 360,76,dataset3
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,PlayStation 3,70,dataset3
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,PlayStation 2,60,dataset3
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,Xbox,61,dataset3
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,DS,73,dataset3
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,Game Boy Advance,73,dataset3
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,PC,86,dataset3
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,Xbox 360,81,dataset3
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,PlayStation 3,76,dataset3
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,GameCube,61,dataset3
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,PC,62,dataset3
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,PlayStation 2,59,dataset3
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,Game Boy Advance,67,dataset3
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,PC,72,dataset3
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,PlayStation 4,77,dataset3
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,iOS (iPhone/iPad),85,dataset3
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,PlayStation Vita,64,dataset3
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,Xbox One,tbd,dataset3
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7.0,PlayStation 4,64,dataset3
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,PC,86,dataset3
Lumines,3/22/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,PSP,89,dataset3
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,PlayStation 2,74,dataset3
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,PSP,43,dataset3
Amped 2,10/28/2003,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,Xbox,80,dataset3
Sword of the Stars II: Lords of Winter,10/28/2011,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,PC,44,dataset3
Buzz! Junior: Dino Den,2/22/2008,Cohort Studios,SCEE,Trivia,,,PlayStation 2,69,dataset3
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,Nintendo Switch,88,dataset3
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,PC,89,dataset3
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,PlayStation 5,88,dataset3
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,PlayStation Vita,83,dataset3
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,Xbox 360,79,dataset3
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,PlayStation 3,73,dataset3
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,PlayStation 4,76,dataset3
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,PlayStation Vita,tbd,dataset3
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,PC,77,dataset3
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,Nintendo Switch,78,dataset3
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,PlayStation 5,72,dataset3
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,Meta Quest,tbd,dataset3
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,PlayStation 3,67,dataset3
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,Xbox 360,68,dataset3
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,PC,tbd,dataset3
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,PlayStation 4,66,dataset3
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,Xbox One,tbd,dataset3
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,PlayStation 4,85,dataset3
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,PC,84,dataset3
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,PlayStation 3,73,dataset3
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,Xbox 360,76,dataset3
Silent Hunter 5: Battle of the Atlantic,3/2/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,PC,62,dataset3
Saban's Power Rangers Megaforce,11/5/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,3DS,30,dataset3
Block Fortress,3/7/2013,,,Action,,,iOS (iPhone/iPad),83,dataset3
WWE 2K14,10/29/2013,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,Xbox 360,75,dataset3
WWE 2K14,10/29/2013,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,PlayStation 3,74,dataset3
Murder by Numbers,3/6/2020,Mediatonic,The Irregular Corporation,Visual Novel,,6.7,PC,79,dataset3
Murder by Numbers,3/6/2020,Mediatonic,The Irregular Corporation,Visual Novel,,6.7,Nintendo Switch,78,dataset3
Ratchet & Clank: Size Matters,2/13/2007,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8.0,PSP,85,dataset3
Ratchet & Clank: Size Matters,2/13/2007,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8.0,PlayStation 2,62,dataset3
Unepic,1/16/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,PC,68,dataset3
Unepic,1/16/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,Wii U,72,dataset3
