title,release_date,developer,publisher,genre,product_rating,user_score,platform,metascore,source,summary
Ziggurat (2012),2012-02-17,Action Button Entertainment,Freshuu Inc.,Action,,6.9,iOS,83,dataset3,
4X4 EVO 2,2001-11-15,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,Xbox,59,dataset3,
4X4 EVO 2,2001-11-15,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,PC,69,dataset3,
4X4 EVO 2,2001-11-15,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,GameCube,56,dataset3,
MotoGP 2 (2001),2002-01-22,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,PlayStation 2,78,dataset3,
Gothic 3,2006-11-14,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,PC,63,dataset3,
Siege Survival: Gloria Victis,2021-05-18,FishTankStudio,Black Eye Games,RPG,,6.5,PC,69,dataset3,
Guitar Hero 3: Legends of Rock,2007-10-28,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,Wii,86,dataset3,
Guitar Hero 3: Legends of Rock,2007-10-28,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,PlayStation 2,82,dataset3,
Guitar Hero 3: Legends of Rock,2007-10-28,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,PlayStation 3,83,dataset3,
Guitar Hero 3: Legends of Rock,2007-10-28,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,Xbox 360,85,dataset3,
Guitar Hero 3: Legends of Rock,2007-10-28,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,PC,79,dataset3,
Frantix: A Puzzle Adventure,2005-09-19,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,,PSP,59,dataset3,
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,PlayStation 4,65,dataset3,
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,PlayStation Vita,64,dataset3,
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,PC,tbd,dataset3,
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,Xbox One,68,dataset3,
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,iOS,tbd,dataset3,
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,Nintendo Switch,61,dataset3,
The Sims: Livin' Large,2000-08-27,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,PC,82,dataset3,
Retrovirus,2012-11-16,Cadenza,Cadenza,FPS,,6.6,PC,70,dataset3,
Til Morning's Light,2015-05-20,WayForward,Amazon Game Studios,Action,,6.4,iOS,77,dataset3,
The Political Machine 2012,2012-07-31,Stardock,Stardock,Turn-Based Strategy,,6.5,PC,54,dataset3,
"Warhammer 40,000: Space Marine",2011-09-06,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,PC,74,dataset3,
"Warhammer 40,000: Space Marine",2011-09-06,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,Xbox 360,76,dataset3,
"Warhammer 40,000: Space Marine",2011-09-06,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,PlayStation 3,70,dataset3,
Star Wars Episode 3: Revenge of the Sith,2005-05-04,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,PlayStation 2,60,dataset3,
Star Wars Episode 3: Revenge of the Sith,2005-05-04,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,Xbox,61,dataset3,
Star Wars Episode 3: Revenge of the Sith,2005-05-04,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,Nintendo DS,73,dataset3,
Star Wars Episode 3: Revenge of the Sith,2005-05-04,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,Game Boy Advance,73,dataset3,
Saints Row 4,2013-08-19,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,PC,86,dataset3,
Saints Row 4,2013-08-19,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,Xbox 360,81,dataset3,
Saints Row 4,2013-08-19,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,PlayStation 3,76,dataset3,
