img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_6510540AmericaFrontccc.jpg,Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,17-09-2013,
/games/boxart/full_5563178AmericaFrontccc.jpg,Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,18-11-2014,03-01-2018
/games/boxart/full_9218923AmericaFrontccc.jpg,Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,,15.86,9.06,0.06,5.33,1.42,17-09-2013,
/games/boxart/full_8047513AmericaFrontccc.jpg,Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,18-11-2014,11-04-2018
/games/boxart/full_382788AmericaFrontccc.jpg,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,Rockstar Games,Rockstar North,9.8,2.49,1.84,,0.56,0.09,31-10-2003,
/games/boxart/3054904ccc.jpg,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Action,Rockstar Games,Rockstar North,9.7,1.72,0.85,,0.66,0.22,21-10-2003,
/games/boxart/full_9031276AmericaFrontccc.jpg,Grand Theft Auto V,PC,Action,Rockstar Games,Rockstar North,,,,,,,14-04-2015,02-11-2018
/games/boxart/full_5096432AmericaFrontccc.png,Grand Theft Auto V,All,Action-Adventure,Rockstar Games,Rockstar North,,,,,,,17-09-2013,08-10-2020
/games/boxart/full_8752476AmericaFrontccc.jpg,Grand Theft Auto V,PS5,Action-Adventure,Rockstar Games,Rockstar Games,,,,,,,01-12-2021,11-06-2020
/games/boxart/full_915577AmericaFrontccc.jpg,Grand Theft Auto V,XS,Action-Adventure,Rockstar Games,Rockstar Games,,,,,,,01-12-2021,12-06-2020
/games/boxart/full_8746704AmericaFrontccc.png,Grand Theft Auto VI,All,Action-Adventure,Unknown,Rockstar Games,,,,,,,,06-12-2023
/games/boxart/full_3949799AmericaFrontccc.png,Grand Theft Auto VI,PS5,Action-Adventure,Unknown,Rockstar Games,,,,,,,,06-12-2023
/games/boxart/full_2268544AmericaFrontccc.png,Grand Theft Auto VI,XS,Action-Adventure,Unknown,Rockstar Games,,,,,,,,06-12-2023
